date,ndvi
17-Jan-91,0.241
19-Jan-91,0.304
19-Jan-91,0.466
20-Feb-91,0.397
20-Feb-91,0.435
20-Feb-91,0.402
20-Feb-91,0.401
27-Feb-91,0.411
27-Feb-91,0.413
27-Feb-91,0.455
27-Feb-91,0.381
1-Mar-91,
1-Mar-91,0.488
31-Mar-91,0.382
7-Apr-91,0.298
7-Apr-91,0.292
16-Apr-91,
16-Apr-91,0.404
16-Apr-91,0.519
16-Apr-91,0.563
18-Apr-91,0.459
23-Apr-91,0.473
2-May-91,0.44
2-May-91,0.471
2-May-91,0.483
9-May-91,0.36
11-May-91,0.443
11-May-91,0.452
11-May-91,0.51
11-May-91,0.487
11-May-91,0.538
18-May-91,0.387
18-May-91,0.43
18-May-91,0.424
20-May-91,0.372
20-May-91,0.404
20-May-91,0.475
25-May-91,0.509
25-May-91,0.51
3-Jun-91,0.54
3-Jun-91,0.481
3-Jun-91,0.407
3-Jun-91,0.308
3-Jun-91,0.327
5-Jun-91,0.469
5-Jun-91,0.39
5-Jun-91,0.347
5-Jun-91,0.272
10-Jun-91,0.459
10-Jun-91,0.462
12-Jun-91,0.341
12-Jun-91,0.428
19-Jun-91,0.36
19-Jun-91,0.458
19-Jun-91,0.396
19-Jun-91,0.334
19-Jun-91,0.343
21-Jun-91,0.382
21-Jun-91,0.4
21-Jun-91,0.422
28-Jun-91,0.4
28-Jun-91,0.464
28-Jun-91,0.311
28-Jun-91,0.314
28-Jun-91,0.368
12-Jul-91,0.349
12-Jul-91,0.348
23-Jul-91,0.301
23-Jul-91,0.296
23-Jul-91,0.294
23-Jul-91,0.292
28-Jul-91,0.286
30-Jul-91,0.229
30-Jul-91,0.186
30-Jul-91,0.186
30-Jul-91,0.167
30-Jul-91,0.183
6-Aug-91,0.197
6-Aug-91,0.213
6-Aug-91,0.199
6-Aug-91,0.219
15-Aug-91,0.234
15-Aug-91,0.306
15-Aug-91,0.24
15-Aug-91,0.244
15-Aug-91,0.283
22-Aug-91,0.356
22-Aug-91,0.308
22-Aug-91,0.292
22-Aug-91,0.197
22-Aug-91,0.183
24-Aug-91,0.212
24-Aug-91,0.21
24-Aug-91,0.258
24-Aug-91,0.239
7-Sep-91,0.317
7-Sep-91,0.275
7-Sep-91,0.289
7-Sep-91,0.182
7-Sep-91,0.163
16-Sep-91,0.235
16-Sep-91,0.335
16-Sep-91,0.193
16-Sep-91,0.165
16-Sep-91,0.169
25-Sep-91,0.102
25-Sep-91,0.134
9-Oct-91,0.175
9-Oct-91,0.178
27-Oct-91,0.19
1-Nov-91,0.196
1-Nov-91,0.196
10-Nov-91,0.19
17-Nov-91,0.278
17-Nov-91,0.278
19-Nov-91,0.212
19-Nov-91,0.31
19-Nov-91,0.181
19-Nov-91,0.18
3-Dec-91,0.319
14-Feb-92,0.181
14-Feb-92,0.49
14-Feb-92,0.556
14-Feb-92,0.541
14-Feb-92,0.529
26-Mar-92,0.27
26-Mar-92,0.479
2-Apr-92,0.353
2-Apr-92,0.427
